Model Number,Model Type,Model,AIC,BIC,Dispersion,Num Obs,Components,DF Residuals,DF Model,Total DF,Log Likelihood,Deviance,Pearson Chi2 Statistic,Pearson Chi2 Critical Value,Pearson Chi2 P-Value,Worse Than,Same As ,Best Worse Than,Best Same As,Consider
38,Negative Binomial,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,476894.7727,484414.3183,1.00E-16,5570,5,4435,1134,5569,-237312.3863,3091.795494,5017.376296,4591.042097,1.43E-09,,52,,52,
12,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Offense:Is_Away + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,477246.5191,484772.6899,1.00E-16,5570,7,4434,1135,5569,-237487.2596,3205.653921,4879.492508,4590.02463,2.24E-06,,"66, 52, 46, 36, 28",,66,
26,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,477246.5191,484772.6899,1.00E-16,5570,6,4434,1135,5569,-237487.2596,3193.065942,4879.32536,4590.02463,2.26E-06,,"66, 62, 52, 38, 36",,66,
36,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,477246.5191,484772.6899,1.00E-16,5570,5,4434,1135,5569,-237487.2596,3201.653009,4878.754993,4590.02463,2.32E-06,,"66, 52",,66,
18,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,476846.9698,486758.1947,1.00E-16,5570,6,4074,1495,5569,-236927.4849,2722.569142,4514.365778,4223.60311,1.18E-06,,,,,
16,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,477158.8572,487070.0821,1.00E-16,5570,6,4074,1495,5569,-237083.4286,2695.283965,4483.500325,4223.60311,5.41E-06,,"54, 52",,54,
22,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home,477633.5614,487200.2785,1.00E-16,5570,6,4126,1443,5569,-237372.7807,2593.311618,4583.571755,4276.547718,5.60E-07,,"72, 64, 56, 54, 50",,72,
24,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away,477633.5614,487200.2785,1.00E-16,5570,6,4126,1443,5569,-237372.7807,2593.311618,4583.571755,4276.547718,5.60E-07,,"72, 64, 56, 54, 50",,72,
34,Negative Binomial,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Home + Defense:Is_Home,477633.5614,487200.2785,1.00E-16,5570,5,4126,1443,5569,-237372.7807,2593.306038,4583.571726,4276.547718,5.60E-07,,"70, 72, 50",,70,
50,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home,477633.5614,487200.2785,1.00E-16,5570,4,4126,1443,5569,-237372.7807,2601.352318,4583.56871,4276.547718,5.60E-07,,72,,72,
8,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home,477693.2515,487266.5938,1.00E-16,5570,7,4125,1444,5569,-237401.6258,2588.205837,4576.088067,4275.529608,7.80E-07,,"72, 68, 64, 56, 54, 50, 48, 42, 40, 32, 24, 22",,72,
10,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away,477693.2515,487266.5938,1.00E-16,5570,7,4125,1444,5569,-237401.6258,2588.205837,4576.088067,4275.529608,7.80E-07,,"72, 68, 64, 56, 54, 50, 48, 42, 40, 32, 24, 22",,72,
20,Negative Binomial,PP100 ~ Offense + Defense + Is_Away + Is_Neutral + Offense:Is_Home + Defense:Is_Home,477693.2515,487266.5938,1.00E-16,5570,6,4125,1444,5569,-237401.6258,2587.55787,4576.084473,4275.529608,7.81E-07,,"72, 70, 68, 60, 34, 32",,72,
32,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Home,477693.2515,487266.5938,1.00E-16,5570,5,4125,1444,5569,-237401.6258,2588.205857,4576.088067,4275.529608,7.80E-07,,"72, 68, 50, ",,72,
2,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,478116.829,490413.108,1.00E-16,5570,8,3714,1855,5569,-237202.4145,2097.175338,4102.85133,3856.89099,6.19E-06,,"72, 64, 56, 54, 52, 50, 28, 24, 22, 18, 16, 14",,72,
4,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,478116.829,490413.108,1.00E-16,5570,8,3714,1855,5569,-237202.4145,2097.175338,4102.85133,3856.89099,6.19E-06,,"72, 64, 56, 54, 52, 50, 28, 24, 22, 18, 16, 14",,72,
6,Negative Binomial,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Home + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,478116.829,490413.108,1.00E-16,5570,7,3714,1855,5569,-237202.4145,2104.371609,4102.844073,3856.89099,6.19E-06,,"72, 70, 52, 50, 38, 34, 14",,72,
14,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,478116.829,490413.108,1.00E-16,5570,6,3714,1855,5569,-237202.4145,2101.034679,4102.849211,3856.89099,6.19E-06,,"72, 52, 50",,72,
